realty_id,realty_type_ID,original_or_copy,link_original_ID,total_price_USD,square_meter_price_USD,credit,E_oselya
32789304,1434,original, ,66 659,1042,NO,NO
32810872,1434,copy,32805131,114 272,2078,NO,NO
32789503,1434,copy,32680537,59 041,894,NO,NO
32810736,1434,copy,32543839,114 272,1428,NO,NO
32789023,1434,original, ,36 186,825,NO,NO
32810649,1434,copy,32811853,24 759,826,NO,NO
32810540,1434,copy,32811853,24 759,854,NO,NO
32025960,1434,original, ,40 471,604,NO,NO
32810440,1434,original, ,49 518,1076,NO,YES
32810245,1434,copy,32811853,24 759,826,NO,NO
32808661,1434,original, ,42 852,1006,NO,NO
32810204,1434,original, ,49 518,1415,NO,YES
32810234,1434,copy,32668232,26 664,866,NO,NO
26613356,1434,original, ,61 898,1317,YES,YES
32810139,1434,copy,32666859,23 807,786,NO,NO
32809518,1434,original, ,49 518,762,NO,NO
32809983,1434,copy,32525605,23 807,603,NO,NO
32810043,1434,original, ,63 802,1387,NO,NO
32810019,1434,original, ,62 850,1397,NO,NO
32809978,1434,copy,32805131,114 272,2078,NO,NO
32809932,1434,copy,31119164,52 375,698,NO,NO
32809780,1434,copy,32065331,114 272,1269,NO,NO
32809844,1434,copy,32799232,36 186,739,NO,NO
31433062,1434,original, ,128 556,2472,NO,NO
26624629,1434,original, ,79 991,1526,NO,NO
27083656,1434,original, ,126 652,1526,NO,NO
29285926,1434,original, ,211 880,1546,NO,NO
24922801,1434,copy,28606797,57 041,1327,NO,NO
27085347,1434,original, ,119 572,1553,NO,NO
25105858,1434,original, ,126 938,1485,NO,NO
32733116,1434,copy,32427729,85 704,1046,NO,NO
29178546,1434,original, ,154 268,1428,NO,NO
32809820,1434,original, ,34 282,686,NO,NO
32807554,1434,original, ,19 522,489,NO,NO
32802594,1434,copy,32241829,16 093,715,NO,NO
32809610,1434,copy,32752694,22 854,685,NO,NO
32764134,1434,original, ,65 707,1729,NO,NO
32773272,1434,copy,32085341,59 993,1364,NO,YES
32772059,1434,copy,32744033,62 374,1418,NO,YES
32809661,1434,copy,32803407,39 662,809,NO,NO
32809434,1434,copy,32543839,114 272,1465,NO,NO
32687235,1436,original, ,60 945,992,NO,YES
32809346,1434,original, ,61 898,1346,NO,NO
32809333,1434,original, ,59 041,1256,NO,YES
32809295,1434,original, ,19 998,667,NO,NO
32655547,1434,original, ,9 523,433,NO,NO
32809298,1434,copy,32760850,50 470,784,NO,YES
32809221,1434,copy,32752694,22 854,685,NO,NO
32679665,1434,original, ,19 045,762,NO,NO
32809171,1434,copy,30762123,36 186,671,NO,NO
32809098,1434,copy,32809028,52 375,871,NO,NO
32809097,1434,copy,32543839,114 272,1458,NO,NO
32802240,1434,copy,32761870,137 603,2187,NO,NO
23999715,1436,original, ,108 559,1507,NO,NO
32809020,1434,copy,32805131,114 272,2078,NO,YES
32809028,1434,original, ,52 375,871,NO,NO
32808994,1434,copy,30762123,36 186,671,NO,NO
32808905,1434,original, ,43 804,768,NO,NO
32808811,1434,copy,32230835,56 993,1410,NO,NO
32796816,1434,copy,32668232,26 664,860,NO,NO
32808804,1434,copy,30762123,36 186,671,NO,NO
32808769,1434,copy,32668625,33 329,497,NO,NO
32808768,1434,copy,32804381,53 327,874,NO,NO
32808757,1434,original, ,29 997,353,NO,NO
32780667,1434,copy,32704636,90 466,1175,NO,NO
32808754,1434,original, ,44 281,963,NO,NO
32808750,1434,original, ,30 473,640,NO,NO
32799077,1434,original, ,39 995,512,NO,NO
32798577,1434,copy,32668232,26 664,866,NO,NO
32799851,1434,copy,32761870,119 034,1892,NO,NO
32808678,1434,copy,32693497,45 709,884,NO,NO
32794016,1434,original, ,24 759,476,NO,NO
32800306,1434,original, ,149 506,1011,NO,NO
32808499,1434,copy,32525605,23 807,603,NO,NO
32808484,1434,copy,24227246,18 093,1070,NO,NO
32808655,1434,original, ,49 137,1024,NO,NO
